Alur Utama,Sub-Alur/Kasus Uji,Deskripsi,Hasil yang Diharapkan,Kriteria Sukses
Login,Login Valid,Pengguna login dengan kredensial yang valid,Pengguna diarahkan ke halaman utama,Halaman utama ditampilkan dengan elemen header dan nama pengguna
Login,Login Tidak Valid,Pengguna mencoba login dengan kredensial yang tidak valid,Pesan kesalahan ditampilkan,Pesan error "Kredensial tidak valid" muncul
Login,Sesi Kedaluwarsa,Sesi pengguna berakhir setelah tidak aktif,Pengguna diarahkan ke halaman login,Halaman login ditampilkan dengan form login
Tambah ke Keranjang,Menambahkan ke Keranjang Dasar,Pengguna menambahkan produk ke keranjang dari daftar produk,Produk ditambahkan ke keranjang dan sidebar muncul,Sidebar keranjang muncul dengan nama produk
Tambah ke Keranjang,Menambahkan ke Keranjang dari Halaman Detail Produk,Pengguna menambahkan produk ke keranjang dari halaman detail produk,Produk ditambahkan ke keranjang dan sidebar muncul,Sidebar keranjang muncul dengan nama produk
Tambah ke Keranjang,Validasi Sidebar Keranjang,Pengguna memverifikasi detail produk di sidebar keranjang,Detail produk yang benar ditampilkan,Detail produk seperti nama, harga, dan jumlah sesuai
Checkout,Visibilitas Tombol Checkout,Pengguna memverifikasi visibilitas tombol "Checkout",Tombol Checkout terlihat,Tombol "Checkout" aktif dan dapat diklik
Checkout,Fungsi Tombol Checkout,Pengguna mengklik tombol "Checkout",Pengguna diarahkan ke halaman checkout,URL berubah ke halaman checkout
Checkout,Pemilihan Metode Pengiriman,Pengguna memilih metode pengiriman,Metode pengiriman yang dipilih disorot,Metode pengiriman memiliki status "dipilih"
Checkout,Pemilihan Metode Pembayaran,Pengguna memilih metode pembayaran,Metode pembayaran yang dipilih disorot,Metode pembayaran memiliki status "dipilih"
Checkout,Checkout Final,Pengguna mengklik tombol "Checkout Final",Modal pembayaran muncul,Modal pembayaran terlihat dengan informasi pembayaran
Checkout,Validasi Modal Pembayaran,Pengguna memverifikasi detail pembayaran di modal,Detail pembayaran yang benar ditampilkan,Informasi pembayaran seperti total harga dan metode pembayaran sesuai
